RXN_ID	HIBACL	None	None	None						
Metabolite	CHEBI:131780	CHEBI:15377	CHEBI:19641	CHEBI:57287						
Coefficient	-1	-2	1	1						
RXN_ID	11614	None	None	None	None	None	None			
Metabolite	CHEBI:16810	CHEBI:15378	CHEBI:57783	CHEBI:28938	CHEBI:15377	CHEBI:29985	CHEBI:58349			
Coefficient	-1	-1	-1	-1	1	1	1			
RXN_ID	17786	None	None	None						
Metabolite	CHEBI:15378	CHEBI:29985	CHEBI:59888	CHEBI:16526						
Coefficient	-1	-1	1	1						
RXN_ID	31111	None	None	None						
Metabolite	CHEBI:57288	CHEBI:57371	CHEBI:62418	CHEBI:57287						
Coefficient	-1	-1	1	1						
RXN_ID	31143	None	None	None	None					
Metabolite	CHEBI:62075	CHEBI:57540	CHEBI:62418	CHEBI:15378	CHEBI:57945					
Coefficient	-1	-1	1	1	1					
RXN_ID	30547	None	None							
Metabolite	CHEBI:62075	CHEBI:62077	CHEBI:15377							
Coefficient	-1	1	1							
RXN_ID	52578	None	None	None	None					
Metabolite	CHEBI:62077	CHEBI:15378	CHEBI:57945	CHEBI:62620	CHEBI:57540					
Coefficient	-1	-1	-1	1	1					
RXN_ID	HXCT	None	None	None						
Metabolite	CHEBI:62620	CHEBI:30089	CHEBI:57288	CHEBI:17120						
Coefficient	-1	-1	1	1						
RXN_ID	OXCT	None	None	None						
Metabolite	CHEBI:57386	CHEBI:30089	CHEBI:57288	CHEBI:25646						
Coefficient	-1	-1	1	1						
RXN_ID	31199	None	None							
Metabolite	CHEBI:62617	CHEBI:62242	CHEBI:15377							
Coefficient	-1	1	1							
RXN_ID	48180	None	None	None	None					
Metabolite	CHEBI:15378	CHEBI:57386	CHEBI:57692	CHEBI:62242	CHEBI:58307					
Coefficient	-1	-1	-1	1	1					
RXN_ID	31195	None	None	None	None					
Metabolite	CHEBI:62617	CHEBI:57540	CHEBI:62619	CHEBI:15378	CHEBI:57945					
Coefficient	-1	-1	1	1	1					
RXN_ID	31203	None	None	None						
Metabolite	CHEBI:57288	CHEBI:62620	CHEBI:62619	CHEBI:57287						
