CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:TIGLATE	tiglate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	TASP										
CHEBI:MP2TN	2-methylpentanoate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	MP2TNP										
CHEBI:M2P2TEN	(E)-2-methyl-2-pentenoate	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	M2P2TENP										
CHEBI:74904	isocaproate	pyruvate	25250	22070	24810	13998	ICSP														
CHEBI:58476	(2S)-2-hydroxy-2-methyl-3-oxobutanoate	pyruvate	25250																		
CHEBI:11851	3-methyl-2-oxobutanoate	pyruvate	25250	22070	24810																
CHEBI:57338	isobutyryl-CoA(4-)	pyruvate	25250	22070	24810	13998															
CHEBI:37808	butane	oxaloacetate	21824	23776	24284	15761	13986	10841	22109	28055	CCE1	55053	ALDDNADP5	ADCN5							
CHEBI:57434	(3S)-3,6-diammoniohexanoate	L-lysinium(1+)	19177																		
CHEBI:58113	L-2-ammoniohexano-6-lactam	L-lysinium(1+)	21388																		
CHEBI:58672	L-2-aminoadipate(1-)	L-lysinium(1+)	22864	37584	31067	12526	11993	25121	12309												
CHEBI:16120	5-oxopentanoate	L-lysinium(1+)	14602	15680	10212																
CHEBI:30921	glutarate(2-)	L-lysinium(1+)	14602	15680	10212	12065															
CHEBI:18153	ethene	2-oxoglutarate(2-)	31523																		
CHEBI:57292	succinyl-CoA(5-)	2-oxoglutarate(2-)	27786																		
CHEBI:39150	4-oxopentanoate	2-oxoglutarate(2-)	27786	LEVR 																	
CHEBI:32383	6-hydroxyhexanoate	2-oxoglutarate(2-)	27786	HHAR 																	
CHEBI:17272	propionate	2-oxoglutarate(2-)	27786	22888	27666	20373															
CHEBI:17128	adipate(2-)	2-oxoglutarate(2-)	27786	ADPR																	
CHEBI:57706	4-oxobutanoate	2-oxoglutarate(2-)	27786	26450																	
CHEBI:57706	4-oxobutanoate	2-oxoglutarate(2-)	10524																		
CHEBI:16724	4-hydroxybutyrate	2-oxoglutarate(2-)	10524	23948																	
CHEBI:58574	4-hydroxybutyryl-CoA(4-)	2-oxoglutarate(2-)	10524	23948	23131																
CHEBI:4HBAD	4-hydroxybutyraldehyde	2-oxoglutarate(2-)	10524	23948	23131	4HBADR															
CHEBI:14BDO	1,4-butanediol	2-oxoglutarate(2-)	10524	23948	23131	4HBADR	14BDOR														
CHEBI:GBL	4-Butyrolactone	2-oxoglutarate(2-)	10524	23948	23131	GBLR															
CHEBI:77761	piperidin-2-one	L-lysinium(1+)	14602	15680	ACT5	C5CYC															
CHEBI:76282	suberate(2-)	2-oxoglutarate(2-)	27786	SUBSP																	
CHEBI:76283	sebacate(2-)	2-oxoglutarate(2-)	27786	SEBSP																	
CHEBI:36165	pimelate(2-)	L-lysinium(1+)	14602	15680	10212	12065	CAT1	PMSP													
CHEBI:79112	7-hydroxyheptanoic acid	L-lysinium(1+)	14602	15680	10212	12065	CAT1	HHPTSP													
CHEBI:HBA	beta-Hydroxy-gamma-butyrolactone	2-oxoglutarate(2-)	19630	13245	25311	HBAR															
CHEBI:DHB23	2,3-Dihydroxybutanoate(-1)	2-oxoglutarate(2-)	19630	13245	25311	DHB23R 															
CHEBI:16724	4-hydroxybutyrate	2-oxoglutarate(2-)	19630	13245	25311	HB4R															
CHEBI:57427	L-leucine zwitterion	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	18321										
CHEBI:57762	L-valine zwitterion	pyruvate	25250	22070	24810	24813															
CHEBI:82957	3-hydroxyisovalerate	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	RE1266C_1										
CHEBI:46645	isobutanol	pyruvate	25250	22070	24810	54357	ADHIBO														
CHEBI:17865	4-methyl-2-oxopentanoate	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079											
CHEBI:48942	isovalerate	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	54361	ADHIVL									
CHEBI:15837	isoamylol	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	54361	18531									
CHEBI:63910	4-methylpentan-1-ol	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	LEUKIVD3	58438									
CHEBI:5M2OPT	5-methyl-2-oxopentanoate	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	LEU2KIHPT										
CHEBI:74904	isocaproate	pyruvate	25250	22070	24810	21525	16293	10676	10893	25079	LEU2KIHPT	ICPRS2									
CHEBI:15686	(R)-acetoin	pyruvate	25250	21581																	
CHEBI:15687	(S)-acetoin	pyruvate	25250	21581	12092																
CHEBI:16947	citrate(3-)	oxaloacetate	16846																		
CHEBI:16383	cis-aconitate(3-)	oxaloacetate	16846	10228																	
CHEBI:16087	isocitrate(3-)	oxaloacetate	16846	10228	22144																
CHEBI:36655	glyoxylate	oxaloacetate	16846	10228	22144	13245															
CHEBI:15589	(S)-malate(2-)	oxaloacetate	16846	10228	22144	13245	18181														
CHEBI:15589	(S)-malate(2-)	oxaloacetate	10512																		
CHEBI:29806	fumarate(2-)	oxaloacetate	10512	12460																	
CHEBI:29806	fumarate(2-)	oxaloacetate	16846	10228	22144	13245	18181	12460													
CHEBI:30031	succinate(2-)	oxaloacetate	10512	12460	29188																
CHEBI:30031	succinate(2-)	2-oxoglutarate(2-)	27786	17661																	
CHEBI:29805	glycolate	oxaloacetate	16846	10228	22144	13245	25311														
CHEBI:17071	glycolaldehyde	oxaloacetate	16846	10228	22144	13245	25311	20001													
CHEBI:30742	ethylene glycol	oxaloacetate	16846	10228	22144	13245	25311	20001	27630												
CHEBI:30623	oxalate(2-)	oxaloacetate	16846	10228	22144	13245	14837														
CHEBI:16724	4-hydroxybutyrate	oxaloacetate	16846	10228	22144	13245	25311	HB4R													
CHEBI:DHB23	2,3-Dihydroxybutanoate(-1)	oxaloacetate	16846	10228	22144	13245	25311	DHB23R													
CHEBI:HBA	beta-Hydroxy-gamma-butyrolactone	oxaloacetate	16846	10228	22144	13245	25311	HBAR 													
CHEBI:57317	(3S)-3-carboxy-3-hydroxypropanoyl-CoA(5-)	oxaloacetate	10512	26193																	
CHEBI:MalSA	malate-semialdehyde	oxaloacetate	10512	26193	MalSAR																
CHEBI:DHB	2,4-dihydroxybutyrate	oxaloacetate	10512	26193	MalSAR	DHBR															
CHEBI:DHBCoA	2,4-dihydroxybutyryl-CoA(-5)	oxaloacetate	10512	26193	MalSAR	DHBR	DHBCoR														
CHEBI:DHBA	2,4-dihydroxybutyraldehyde	oxaloacetate	10512	26193	MalSAR	DHBR	DHBCoR	DHBAR													
CHEBI:88063	1,2,4-Butanetriol	oxaloacetate	10512	26193	MalSAR	DHBR	DHBCoR	DHBAR	BTER												
CHEBI:16812	(S,S)-butane-2,3-diol	pyruvate	25250	21581	12092	12184															
CHEBI:16982	(R,R)-butane-2,3-diol	pyruvate	25250	21581	24340																
CHEBI:75460	meso-butane-2,3-diol	pyruvate	25250	21581	24340	MSBDDH1															
CHEBI:75460	meso-butane-2,3-diol	pyruvate	25250	21581	12092	12184	MSBDDH2														
CHEBI:28398	butan-2-one	pyruvate	25250	21581	24340	MSBDDH1	BGDH														
CHEBI:35687	butan-2-ol	pyruvate	25250	21581	24340	MSBDDH1	BGDH	ADH2BO													
CHEBI:16651	(S)-lactate	pyruvate	23444																		
CHEBI:57382	lactoyl-CoA(4-)	pyruvate	23444	PPCOATF																	
CHEBI:57367	acryloyl-CoA(4-)	pyruvate	23444	PPCOATF	21057																
CHEBI:57392	propionyl-CoA(4-)	pyruvate	23444	PPCOATF	21057	26456															
CHEBI:17272	propionate	pyruvate	23444	PPCOATF	21057	26456	23520														
CHEBI:28831	propan-1-ol	pyruvate	23444	PPCOATF	21057	26456	23520	36029	50706												
CHEBI:48944	isobutyrate	pyruvate	25250	22070	24810	13998	40800														
CHEBI:63910	4-methylpentan-1-ol	pyruvate	25250	22070	24810	13998	ICSP	ICCCRD	58438												
CHEBI:30362	isopentane	pyruvate	25250	22070	24810	13998	ICSP	ICCCRD	ADCNIPT												
CHEBI:37080	acrylate	pyruvate	23444	PPCOATF	21057	ACYDG															
CHEBI:57642	glycerone phosphate(2-)	D-glyceraldehyde 3-phosphate(2-)	18585																		
CHEBI:17158	methylglyoxal	D-glyceraldehyde 3-phosphate(2-)	18585	17937																	
CHEBI:17167	(R)-lactaldehyde	D-glyceraldehyde 3-phosphate(2-)	18585	17937	24531																
CHEBI:18041	(S)-lactaldehyde	D-glyceraldehyde 3-phosphate(2-)	18585	17937	21748																
CHEBI:28972	(R)-propane-1,2-diol	D-glyceraldehyde 3-phosphate(2-)	18585	17937	24531	23872															
CHEBI:29002	(S)-propane-1,2-diol	D-glyceraldehyde 3-phosphate(2-)	18585	17937	21748	15933															
CHEBI:16016	dihydroxyacetone	D-glyceraldehyde 3-phosphate(2-)	18585	18381																	
CHEBI:57597	sn-glycerol 3-phosphate(2-)	D-glyceraldehyde 3-phosphate(2-)	18585	28751																	
CHEBI:58359	L-glutamine zwitterion	2-oxoglutarate(2-)	11614	16170																	
CHEBI:17754	glycerol	D-glyceraldehyde 3-phosphate(2-)	18585	18381	13769																
CHEBI:17754	glycerol	D-glyceraldehyde 3-phosphate(2-)	18585	28751	21647																
CHEBI:16659	D-glycerate	3-phosphonato-D-glycerate(3-)	23519																		
CHEBI:17378	D-glyceraldehyde	3-phosphonato-D-glycerate(3-)	23519	30786																	
CHEBI:17754	glycerol	3-phosphonato-D-glycerate(3-)	23519	30786	23595																
CHEBI:17754	glycerol	3-phosphonato-D-glycerate(3-)	23519	30786	30030																
CHEBI:18110	3-phosphonatooxypyruvate(3-)	3-phosphonato-D-glycerate(3-)	12644																		
CHEBI:57524	O-phosphonato-L-serine(2-)	3-phosphonato-D-glycerate(3-)	12644	14332																	
CHEBI:33384	L-serine zwitterion	3-phosphonato-D-glycerate(3-)	12644	14332	21211																
CHEBI:57603	ethanolaminium(1+)	3-phosphonato-D-glycerate(3-)	12644	14332	21211	45827															
CHEBI:57305	glycine zwitterion	3-phosphonato-D-glycerate(3-)	12644	14332	21211	15484															
CHEBI:356416	5-ammoniolevulinate	3-phosphonato-D-glycerate(3-)	12644	14332	21211	15484	12924														
CHEBI:58055	4,5-dioxopentanoate	3-phosphonato-D-glycerate(3-)	12644	14332	21211	15484	12924	12483													
CHEBI:17871	3-hydroxypropanal	glycerol	19768																		
CHEBI:16109	propane-1,3-diol	glycerol	19768	23191																	
CHEBI:16109	propane-1,3-diol	glycerol	19768	35602																	
CHEBI:16510	3-hydroxypropionate	glycerol	19768	HPP3																	
CHEBI:27957	hydroxyacetone	D-glyceraldehyde 3-phosphate(2-)	18585	17937	27989																
CHEBI:27957	hydroxyacetone	D-glyceraldehyde 3-phosphate(2-)	18585	17937	35618																
CHEBI:16997	propane-1,2-diol	D-glyceraldehyde 3-phosphate(2-)	18585	17937	27989	PPDAC															
CHEBI:17153	propanal	D-glyceraldehyde 3-phosphate(2-)	18585	17937	35618	PPDAC	14572														
CHEBI:18351	4-hydroxyhexan-3-one	D-glyceraldehyde 3-phosphate(2-)	18585	17937	35618	PPDAC	14572	11103													
CHEBI:73142	(S)-4-hydroxy-2-oxohexanoate	D-glyceraldehyde 3-phosphate(2-)	18585	17937	35618	PPDAC	14572	36006													
CHEBI:28831	propan-1-ol	D-glyceraldehyde 3-phosphate(2-)	18585	17937	35618	PPDAC	14572	50707													
CHEBI:57805	N(2)-acetyl-L-ornithine zwitterion	2-oxoglutarate(2-)	11614	18049																	
CHEBI:46911	L-ornithinium(1+)	2-oxoglutarate(2-)	11614	18049	15941																
CHEBI:326268	1,4-butanediammonium	2-oxoglutarate(2-)	11614	18049	15941	22965															
CHEBI:58264	4-ammoniobutanal	2-oxoglutarate(2-)	11614	18049	15941	22965	18274														
CHEBI:59888	gamma-aminobutyric acid zwitterion	2-oxoglutarate(2-)	11614	18049	15941	22965	18274	19106													
CHEBI:57743	L-citrulline zwitterion	2-oxoglutarate(2-)	11614	18049	15941	19513															
CHEBI:57472	(N(omega)-L-arginino)succinate(1-)	2-oxoglutarate(2-)	11614	18049	15941	19513	10933														
